Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,
387,pepperoni beef,10,0.9,0.3,0.3,0.053,0,0,0.5,0,2.1,0.09,0.6,0,0.088,0.07,0.032,0.014,0.026,0.07,0.006,0.097,0.04,0,0.043,0.4,0.009,0.035,0.4,0.014,3.5,5.6,0.035,0.027,1.902,
388,peppered loaf,42,1.8,0.6,0.9,0.1,1.3,1.3,4.9,0,13.1,0.2,19.2,0,0.1,0.064,0.012,0.005,0.9,0.2,0.081,0,0.079,0.084,0.032,15.4,0.047,0.3,5.7,0.046,48.5,112.3,0.059,0.9,23.7,
389,luncheon meat beef,150,3,3,1,0.013,0,0,18,0,3.2,0.1,6.9,0,0.057,0.095,0.5,0.067,0.4,0.007,0.054,0,0.026,0.059,0.076,0.9,0.011,0.3,1.7,0.054,12.9,37.4,0.055,0.3,3.3,
390,lebanon bologna,98,6,1.6,2.5,0.1,0.3,0,10.8,0,31.4,0.8,37.5,0.052,0.066,0.024,0.093,0.051,1.8,0.2,0.2,0.5,0.065,0.3,0.073,11.4,0.093,1.2,11.4,0.002,109.4,188.1,0.059,2.2,30.243,
391,chicken pork bologna,94,8.6,2.8,3.7,1.2,1.2,0,2.9,0,24.4,0.3,14.2,0.01,0.094,0.081,0.001,0.041,1,0.2,0.081,3.7,0,0.2,0.048,54.9,0.056,0.3,4.5,0.042,62.4,45.4,0,0.3,71.678,
392,turkey roll,40,1.9,0.6,0.6,0.5,0.6,0,4.9,0,14.9,0.1,18.9,0,0.038,0.072,0.075,0.013,1.3,0.2,0.089,0,0.075,0.009,0,8.6,0.088,0.4,4.9,0.085,45.4,72.9,0.049,0.5,16.4,
393,beef salami cooked,68,5.8,2.6,2.8,0.3,0.5,0.4,3.3,0,18.5,0.3,15.6,0,0.046,0.036,0.012,0.099,0.8,0.2,0.051,0,0.044,0.093,0.082,1.6,0.014,0.6,3.4,0.083,53.3,48.9,0.088,0.5,11.8,
394,yachtwurst cooked,150,12.7,4.4,0,0,0.8,0,8.3,0,35.8,0.5,32.6,0,0,0,0,0,0,0,0,0,0,0,0,10.6,0,0.6,0,0,0,0,0,0,33,
395,italian salami,43,3.7,1.3,1.8,0.4,0.1,0.1,2.2,0,8,0.2,3.5,0,0.025,0.024,0.071,0.009,0.6,0.1,0.015,0,0,0,0,1,0.057,0.2,2.2,0.052,22.9,34,0.035,0.4,7.2,
396,turkey ham,38,1.6,0.1,0.2,0.3,0.3,0.1,5.5,0,18.8,0.3,20.2,0,0.094,0.096,0.044,0.011,1,0.2,0.024,0,0,0.1,0,1.4,0.047,0.4,5.6,0.074,85.1,83.7,0.043,0.7,9.2,
